ORDER_ID,ORDER_DATE,ORDER_MODE,CUSTOMER_ID,ORDER_STATUS,ORDER_TOTAL,SALES_REP_ID,PROMOTION_ID
2458,16-AUG-07 03.34.12.234359 PM,direct,101,0,78279.6,153, - 
2397,19-NOV-07 02.41.54.696211 PM,direct,102,1,42283.2,154, - 
2454,02-OCT-07 05.49.34.678340 PM,direct,103,1,6653.4,154, - 
2354,14-JUL-08 06.18.23.234567 PM,direct,104,0,46257,155, - 
2358,08-JAN-08 05.03.12.654278 PM,direct,105,2,7826,155, - 
2381,14-MAY-08 08.59.08.843679 PM,direct,106,3,23034.6,156, - 
2440,31-AUG-07 09.53.06.008765 PM,direct,107,3,70576.9,156, - 
2357,08-JAN-06 08.19.44.123456 PM,direct,108,5,59872.4,158, - 
2394,10-FEB-08 09.22.35.564789 PM,direct,109,5,21863,158, - 
2435,02-SEP-07 11.22.53.134567 PM,direct,144,6,62303,159, - 
2455,20-SEP-07 11.34.11.456789 AM,direct,145,7,14087.5,160, - 
2379,16-MAY-07 02.22.24.234567 AM,direct,146,8,17848.2,161, - 
2396,02-FEB-06 01.34.56.345678 AM,direct,147,8,34930,161, - 
2406,29-JUN-07 04.41.20.098765 AM,direct,148,8,2854.2,161, - 
2434,13-SEP-07 05.49.30.647893 AM,direct,149,8,268651.8,161, - 
2436,02-SEP-07 06.18.04.378034 AM,direct,116,8,6394.8,161, - 
2446,27-JUL-07 07.03.08.302945 AM,direct,117,8,103679.3,161, - 
2447,27-JUL-08 08.59.10.223344 AM,direct,101,8,33893.6,161, - 
2432,14-SEP-07 09.53.40.223345 AM,direct,102,10,10523,163, - 
2433,13-SEP-07 10.19.00.654279 AM,direct,103,10,78,163, - 
2355,26-JAN-06 09.22.51.962632 AM,online,104,8,94513.5, - , - 
2356,26-JAN-08 09.22.41.934562 AM,online,105,5,29473.8, - , - 
2359,08-JAN-06 09.34.13.112233 PM,online,106,9,5543.1, - , - 
2360,14-NOV-07 12.22.31.223344 PM,online,107,4,990.4, - , - 
2361,13-NOV-07 01.34.21.986210 PM,online,108,8,120131.3, - , - 
2362,13-NOV-07 02.41.10.619477 PM,online,109,4,92829.4, - , - 
2363,23-OCT-07 05.49.56.346122 PM,online,144,0,10082.3, - , - 
2364,28-AUG-07 06.18.45.942399 PM,online,145,4,9500, - , - 
2365,28-AUG-07 07.03.34.003399 PM,online,146,9,27455.3, - , - 
2366,28-AUG-07 08.59.23.144778 PM,online,147,5,37319.4, - , - 
2367,27-JUN-08 09.53.32.335522 PM,online,148,10,144054.8, - , - 
2368,26-JUN-08 10.19.43.190089 PM,online,149,10,60065, - , - 
2369,26-JUN-07 11.22.54.009932 PM,online,116,0,11097.4, - , - 
2370,27-JUN-08 12.22.11.647398 AM,online,117,4,126, - , - 
2371,16-MAY-07 01.34.56.113356 AM,online,118,6,79405.6, - , - 
2372,27-FEB-07 12.22.33.356789 AM,online,119,9,16447.2, - , - 
2373,27-FEB-08 01.34.51.220065 AM,online,120,4,416, - , - 
2374,27-FEB-08 02.41.45.109654 AM,online,121,0,4797, - , - 
2375,26-FEB-07 03.49.50.459233 AM,online,122,2,103834.4, - , - 
2376,07-JUN-07 06.18.08.883310 AM,online,123,6,11006.2, - , - 
2377,07-JUN-07 07.03.01.001100 AM,online,141,5,38017.8, - , - 
2378,24-MAY-07 08.59.10.010101 AM,online,142,5,25691.3, - , - 
2380,16-MAY-07 09.53.02.909090 AM,online,143,3,27132.6, - , - 
2382,14-MAY-08 10.19.03.828321 AM,online,144,8,71173, - , - 
2383,12-MAY-08 11.22.30.545103 AM,online,145,8,36374.7, - , - 
2384,12-MAY-08 12.22.34.525972 PM,online,146,3,29249.1, - , - 
2385,08-DEC-07 11.34.11.331392 AM,online,147,4,295892, - , - 
2386,06-DEC-07 12.22.34.225609 PM,online,148,10,21116.9, - , - 
2387,11-MAR-07 03.34.56.536966 PM,online,149,5,52758.9, - , - 
2388,04-JUN-07 04.41.12.554435 PM,online,150,4,282694.3, - , - 
